id,time,created_at,from_user_name,from_user_lang,text,source,location,lat,lng,from_user_follower_count,from_user_friend_count,from_user_realname,to_user_name,in_reply_to_status_id,from_user_listed,from_user_utcoffset,from_user_timezone,from_user_description,from_user_url,from_user_verified,filter_level
411046194903654400,1386836024,2013-12-12 08:13:44,dmarialafebre,es,Imagina un país completamente conectado al procomún del conocimiento abierto mundial #OpenEcuador @asambleaecuador,"web","Madrid",0.000000,0.000000,,,Delia Maria Lafebre ,,0,0,0,,"Amo la libertad y la justicia social","",0,medium
411046443072253953,1386836083,2013-12-12 08:14:43,dmarialafebre,es,#OpenEcuador es el primer paso hacia la sociedad del conocimiento libre. Saberes ancestrales + #softwarelibre + #bienescomunes.,"web","Madrid",0.000000,0.000000,,,Delia Maria Lafebre ,,0,0,0,,"Amo la libertad y la justicia social","",0,medium
411046587507298305,1386836117,2013-12-12 08:15:17,dmarialafebre,es,#OpenEcuador ¿En qué ámbitos crees que se debe trabajar para CONSTRUIR una sociedad procomún? @asambleaecuador,"web","Madrid",0.000000,0.000000,,,Delia Maria Lafebre ,,0,0,0,,"Amo la libertad y la justicia social","",0,medium
411046687767945216,1386836141,2013-12-12 08:15:41,dmarialafebre,es,#OpenEcuador Está CONSTRUYENDO PROPUESTAS de políticas basadas en lo procomún el conocimiento abierto ¿cómo puedes aportar?,"web","Madrid",0.000000,0.000000,,,Delia Maria Lafebre ,,0,0,0,,"Amo la libertad y la justicia social","",0,medium
411050027046301696,1386836938,2013-12-12 08:28:58,conshuda,es,#OpenEcuador,"web","Neuquen",0.000000,0.000000,,,sισмαяα ρεяεz c: ,,0,0,-10800,Buenos Aires,"٩(●̮̮̃•̃)۶ ٩(-̮̮̃-̃)۶ ٩(͡๏̯͡๏)۶ ٩(-̮̮̃•̃)۶ ٩(×̯×)۶ _________________________________________________________    Natación♥ ntvg♥ rollear♥pelotudiar♥","",0,medium
411052869794922496,1386837615,2013-12-12 08:40:15,ExperimentemART,es,RT @latabacalera: Carta abierta a los trabajadores del procomún del mundo: http://t.co/aQphPKygsW #OpenEcuador vía @elbuenconocer [[http://floksociety.org/carta-abierta/]],"Twitter for Android","Torrijos  68. Barcelona",0.000000,0.000000,,,Experimentem ART,,0,74,-10800,Greenland,"Entitat educativa que creu en l'art contemporani com a eina per a potenciar la creativitat i el pensament crític.","http://www.experimentem.org",0,medium
411055205888045056,1386838172,2013-12-12 08:49:32,MECAMBIOYA,es,RT @y_quintana: Quiénes (con + ) impulsan #OpenEcuador “@MECAMBIOYA: Hacktivistas...soñando un país conectado al procomún del conocimiento …,"web","",0.000000,0.000000,,,mecambio.net,,0,105,7200,Athens,"Porque se pueden contratar los servicios de tu día a día (luz  banca  etc..) a proveedores con prácticas sostenibles y éticas. ¡Hay  alternativa! ¡Cámbiate Ya!","http://mecambio.net",0,medium
411055534427889664,1386838251,2013-12-12 08:50:51,torbe_,es,RT @Vzy_: La historia se abre paso con interacciones imparables en pos del procomún: ética hacker y conocimiento índigena #OpenEcuador #Bue…,"web","",0.000000,0.000000,,,SíSePuede,,0,104,-10800,Greenland,"Un mundo mejor no es una utopía  es un objetivo.","",0,medium
411056753137041408,1386838541,2013-12-12 08:55:41,dmarialafebre,es,#OpenEcuador Con el espíritu de compartir y cooperar pedimos apoyo para construir una sociedad del procomún @asambleaecuador,"web","Madrid",0.000000,0.000000,,,Delia Maria Lafebre ,,0,0,0,,"Amo la libertad y la justicia social","",0,medium
411056800398856192,1386838552,2013-12-12 08:55:52,SayitaSol,es,#OpenEcuador 1er paso hacia la sociedad del conocimiento libre y de Buen Vivir. Saberes ancestrales+ #softwarelibre + #procomun + mov global,"Twitter for iPhone","España -",0.000000,0.000000,,,Saya,,0,10,0,,"De ahi y de allá ahora en Madrid #sisepuede #sumakkausay #participacion #crowd #opendata #socialmedia #economiasolidaria #innovación","",0,medium
